생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH750,파극천,Morinda Root,Morindae Radix,파극천,Morinda officilis How,뿌리
KMH754,파두,Croton Seed,Crotonis Semen,파두,Croton tiglium Linn,씨
KMH759,패장,Patrinia Root,Patriniae Radix,마타리,Patrinia villosa Jussieu,뿌리
KMH760,편축,Polygonum Herb,Polygoni Avicularis Herba,마디풀,Polygonum aviculare Linn,전초
KMH762,포공영,Dandelion Herb,Taraxaci Herba,"민들레, 흰민들레, 서양민들레",Taraxacum platycarpum H. Dahlstedt,전초
KMH763,포황,Cattail Pollen,Typhae Pollen,부들,Typha orientalis Presl,꽃가루
KMH768,피마자,Castor Seed,Ricini Semen,피마자(아주까리),Ricinus communis Linn,씨
KMH771,하구초,Prunella Spike,Prunellae Spica,꿀풀,Prunella vulgaris Linn,화서
KMH773,하수오,Polygonum Root,Polygoni Multiflori Radix,적하수오,Polygonum multiflorum Thunberg,덩이뿌리
KMH780,한인진,Iwayomogi Herb,Artemisiae Iwayomogii Herba,더위지기,Artemisia iwayomogi Kitamura,지상부
KMH783,합환피,Albizia Bark,Albizziae Cortex,자귀나무,Albizzia julibrissin Durazzini,줄기껍질
KMH788,해동피,Kalopanax Bark,Kalopacis Cortex,엄나무,Kalopax pictus kai,줄기껍질
KMH791,해방풍,Glehnia Root,Glehniae Radix,갯방풍,Glehnia littoralis Fr.,뿌리
KMH792,해백,Allium Macrostemon Bulb,Allii Macrostemi Bulbus,"산달래, 염교",Allium macrostemon Bunge,비늘줄기
KMH796,해송자,Pine Seed,Pini Koraiensis Semen,잣나무,Pinus koraiensis Siebold,씨
KMH801,행인,Apricot Kernel,Armeniacae Semen,"살구나무, 개살구나무",Prunus armeniaca Linn,씨
KMH803,향부자,Cyperus Rhizome,Cyperi Rhizoma,향부자,Cyperus rotundus Linn,뿌리줄기
KMH806,향유,Elsholtzia Herb,Elsholtziae Herba,향유,Elsholtzia ciliata Hylander,전초
KMH810,현삼,Scrophularia Root,Scrophulariae Radix,현삼,Scrophularia buergeria Miquel,뿌리
KMH812,현초,Geranium Herb,Geranii Herba,이질풀,Geranium thunbergii Siebold,지상부
KMH814,현호색,Corydalis Tuber,Corydalis Tuber,"일현호색, 현호색",Corydalis terta kai,덩이줄기
KMH816,형개,Schizonepeta Spike,Schizonepetae Spica,형개,Schizonepeta tenuifolia Briquet,꽃이삭
KMH818,호도,Walnut,Juglandis Semen,호두나무,Juglans regia Linn,씨
KMH823,호이초,Saxifraga Herb,Saxifragae Herba,바위취,Saxifraga stolonifera Linn,전초
KMH824,호장근,Polygonum Cuspidatum Root,Polygoni Cuspidati Rhizoma et Radix,호장근,Polygonum cuspidatum Siebold,"뿌리줄기, 뿌리"
KMH829,홍삼,Red Ginseng,Ginseng Radix Rubra,인삼,Pax ginseng C. A. Meyer,뿌리
KMH830,홍화,Safflower Flower,Carthami Flos,잇꽃,Carthamus tinctorius Linn,관상화
KMH831,홍화자,Safflower Seed,Carthami Fructus,잇꽃,Carthamus tinctorius Linn,열매
KMH838,화피,Birch Bark,Betulae Cortex,자작나무,Betula platyphylla Suk.,수피
KMH841,황금,Scutellaria Root,Scutellariae Radix,속새속속풀,Scutellaria baicalensis Georgi,뿌리
KMH843,황기,Astragalus Root,Astragali Radix,"황기, 몽골황기",Astragalus membraceus Bunge,뿌리
KMH844,황련,Coptis Rhizome,Coptidis Rhizoma,"일황련, 중국황련, 삼각엽황련",Coptis japonica Makino,뿌리줄기
KMH847,황갈,Lindera Twig,Linderae Ramulus,생강나무,Lindera obtusiloba Blume,어린가지
KMH848,황백,Phellodendron Bark,Phellodendri Cortex,"황벽나무, 황피수",Phellodendron amurense Ruprecht,줄기껍질
KMH854,황정,Polygonatum Rhizome,Polygoti Rhizoma,"층층둥굴레, 둥굴레, 낚시둥굴레",Polygotum sibiricum Redoute,뿌리줄기
KMH858,회향,Fennel Fruit,Foeniculi Fructus,회향,Foeniculum vulgare Miller,열매
KMH860,후박,Magnolia Bark,Magnoliae Cortex,"일본목련, 후박나무, 당후박",Magnolia ovobata Thunberg,줄기껍질
KMH862,후추,Black Pepper,Piperis Nigri Fructus,후추,Piper nigrum Linn,열매
KMH867,흑임자,Black Sesame,Sesami Semen Nigra,참깨,Sesamum indicum Linn,씨
KMH868,희렴,Siegesbeckia Herb,Siegesbeckiae Herba,"진득찰, 털진득찰",Siegesbeckia pubescens Makino,지상부
